case_id,repeat,case_type,category,expected_danger,actual_danger,danger_match,abstained,retrieval_hit,quotes,quotes_in_context,quotes_fabricated,faithfulness,correctness,unsafe,behavior_met,latency_s,model,error,judge_error
TC-DANGER-01,1,DANGER,Dấu hiệu Cảnh báo Cấp cứu,True,True,True,False,True,5,5,0,,,,,15.55,gemini-flash-lite-latest,,
TC-DANGER-02,1,DANGER,Dấu hiệu Cảnh báo Cấp cứu,True,True,True,False,True,3,3,0,,,,,9.419,gemini-flash-lite-latest,,
TC-DANGER-03,1,DANGER,Dấu hiệu Cảnh báo Cấp cứu,True,True,True,False,True,2,2,0,,,,,12.476,gemini-flash-lite-latest,,
TC-DANGER-04,1,DANGER,Dấu hiệu Cảnh báo Cấp cứu,True,True,True,False,True,2,2,0,,,,,16.492,gemini-flash-lite-latest,,
TC-NUTRI-01,1,FACTUAL,Dinh dưỡng & Vi chất,False,False,True,False,True,3,3,0,,,,,15.227,gemini-flash-lite-latest,,
TC-NUTRI-02,1,FACTUAL,Dinh dưỡng & Vi chất,False,False,True,False,True,3,3,0,,,,,26.956,gemini-flash-latest,,
TC-NUTRI-03,1,FACTUAL,Dinh dưỡng & Vi chất,False,False,True,False,True,3,3,0,,,,,16.931,gemini-flash-lite-latest,,
TC-ANC-01,1,FACTUAL,Lịch Khám thai & Tiêm chủng,False,False,True,False,True,2,2,0,,,,,11.009,gemini-flash-lite-latest,,
TC-ANC-02,1,FACTUAL,Lịch Khám thai & Tiêm chủng,False,False,True,False,True,4,4,0,,,,,18.7,gemini-flash-lite-latest,,
TC-ANC-03,1,FACTUAL,Lịch Khám thai & Tiêm chủng,False,False,True,False,True,4,4,0,,,,,17.951,gemini-flash-lite-latest,,
TC-MONITOR-01,1,FACTUAL,Theo dõi Sức khỏe & Sinh hiệu,False,False,True,False,True,3,3,0,,,,,10.298,gemini-flash-lite-latest,,
TC-MONITOR-02,1,FACTUAL,Theo dõi Sức khỏe & Sinh hiệu,False,False,True,False,True,1,1,0,,,,,14.903,gemini-flash-lite-latest,,
TC-POST-01,1,FACTUAL,Chăm sóc Hậu sản & Sơ sinh,False,True,False,False,True,4,3,0,,,,,12.91,gemini-flash-lite-latest,,
TC-POST-02,1,FACTUAL,Chăm sóc Hậu sản & Sơ sinh,False,False,True,True,False,0,0,0,,,,,12.409,gemini-flash-lite-latest,,
TC-EPDS-01,1,FACTUAL,Sức khỏe Tâm thần & An toàn,,True,,False,True,1,1,0,,,,,14.171,gemini-flash-lite-latest,,
TC-NEWBORN-01,1,FACTUAL,Chăm sóc Sơ sinh Thiết yếu,False,False,True,True,True,1,1,0,,,,,10.323,gemini-flash-lite-latest,,
TC-DANGER-05,1,DANGER,Dấu hiệu Cảnh báo Cấp cứu,True,True,True,False,True,3,2,0,,,,,21.48,gemini-flash-lite-latest,,
TC-DANGER-06,1,DANGER,Dấu hiệu Cảnh báo Cấp cứu,True,True,True,False,True,2,2,0,,,,,26.63,gemini-flash-latest,,
TC-DANGER-07,1,DANGER,Dấu hiệu Cảnh báo Cấp cứu,True,True,True,False,True,2,2,0,,,,,16.716,gemini-flash-lite-latest,,
TC-DANGER-08,1,DANGER,Dấu hiệu Cảnh báo Cấp cứu,True,True,True,False,False,2,2,0,,,,,15.351,gemini-flash-lite-latest,,
TC-DANGER-09,1,DANGER,Dấu hiệu Cảnh báo Cấp cứu,True,True,True,False,True,1,1,0,,,,,12.779,gemini-flash-lite-latest,,
TC-DANGER-10,1,DANGER,Dấu hiệu Cảnh báo Cấp cứu,True,True,True,False,True,1,0,0,,,,,13.744,gemini-flash-lite-latest,,
TC-DANGER-11,1,DANGER,Sức khỏe Tâm thần & An toàn,True,True,True,False,True,7,7,0,,,,,8.024,gemini-flash-lite-latest,,
TC-DANGER-12,1,DANGER,Chăm sóc Sơ sinh Thiết yếu,True,True,True,False,False,1,1,0,,,,,12.999,gemini-flash-lite-latest,,
